benchmark_id,source_id,accession,role,adapter,access,execution_mode,metadata_only,destination,command_or_action
depmap_prism_lincs,lincs_phase2,GSE70138,independent_signature_validation,geo,open,public-command,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/depmap_prism_lincs/lincs_phase2,Download GEO supplementary files for GSE70138 using NCBI HTTPS/FTP into /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/depmap_prism_lincs/lincs_phase2
depmap_prism_lincs,lincs_genetic_perturbations,GSE106127,genetic_signature_validation,geo,open,public-command,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/depmap_prism_lincs/lincs_genetic_perturbations,Download GEO supplementary files for GSE106127 using NCBI HTTPS/FTP into /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/depmap_prism_lincs/lincs_genetic_perturbations
sea_ad_neural_glial,sea_ad_processed_single_cell,AWS s3://sea-ad-single-cell-profiling/; Brain Knowledge project UMSVXTDIAZTAFKGE43T,discovery,aws_s3,open processed data,public-command,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/sea_ad_neural_glial/sea_ad_processed_single_cell,aws s3 ls --no-sign-request s3://sea-ad-single-cell-profiling/ /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/sea_ad_neural_glial/sea_ad_processed_single_cell/
sea_ad_neural_glial,sea_ad_spatial,AWS s3://sea-ad-spatial-transcriptomics/,spatial_discovery,aws_s3,open,public-command,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/sea_ad_neural_glial/sea_ad_spatial,aws s3 ls --no-sign-request s3://sea-ad-spatial-transcriptomics/ /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/sea_ad_neural_glial/sea_ad_spatial/
sea_ad_neural_glial,sea_ad_neuropathology,AWS s3://sea-ad-quantitative-neuropathology/,phenotype_anchor,aws_s3,open,public-command,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/sea_ad_neural_glial/sea_ad_neuropathology,aws s3 ls --no-sign-request s3://sea-ad-quantitative-neuropathology/ /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/sea_ad_neural_glial/sea_ad_neuropathology/
sea_ad_neural_glial,sea_ad_multiregion,SEA-AD processed 11-region release (June 2026),within-program_validation,aws_s3,open processed,public-command,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/sea_ad_neural_glial/sea_ad_multiregion,aws s3 ls --no-sign-request s3://sea-ad-single-cell-profiling/ /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/sea_ad_neural_glial/sea_ad_multiregion/
amp_ad_molecular,ampad_rnaseq_harmonization,syn21241740,harmonized_discovery,synapse,mixed open/controlled; Synapse account and conditions may be required,account-or-controlled,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/amp_ad_molecular/ampad_rnaseq_harmonization,synapse get -r syn21241740 --downloadLocation /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/amp_ad_molecular/ampad_rnaseq_harmonization
amp_ad_molecular,rosmap,syn3219045,discovery_cohort,synapse,controlled for many individual-level files,account-or-controlled,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/amp_ad_molecular/rosmap,synapse get -r syn3219045 --downloadLocation /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/amp_ad_molecular/rosmap
amp_ad_molecular,msbb,syn3159438,independent_validation,synapse,mixed/controlled,account-or-controlled,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/amp_ad_molecular/msbb,synapse get -r syn3159438 --downloadLocation /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/amp_ad_molecular/msbb
amp_ad_molecular,mayo_rnaseq,syn5550404,independent_validation,synapse,mixed/controlled,account-or-controlled,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/amp_ad_molecular/mayo_rnaseq,synapse get -r syn5550404 --downloadLocation /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/amp_ad_molecular/mayo_rnaseq
amp_ad_molecular,ampad_diverse_cohorts,syn51732482,generalization_validation,synapse,mixed/controlled,account-or-controlled,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/amp_ad_molecular/ampad_diverse_cohorts,synapse get -r syn51732482 --downloadLocation /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/amp_ad_molecular/ampad_diverse_cohorts
dandi_neurophysiology,dandi_000048,DANDI:000048,multimodal_discovery,dandi,open,public-command,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/dandi_neurophysiology/dandi_000048,dandi download DANDI:000048@latest --output-dir /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/dandi_neurophysiology/dandi_000048
dandi_neurophysiology,dandi_000039,DANDI:000039,independent_imaging_validation,dandi,open,public-command,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/dandi_neurophysiology/dandi_000039,dandi download DANDI:000039@latest --output-dir /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/dandi_neurophysiology/dandi_000039
dandi_neurophysiology,dandi_000568,DANDI:000568,independent_ephys_validation,dandi,open,public-command,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/dandi_neurophysiology/dandi_000568,dandi download DANDI:000568@latest --output-dir /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/dandi_neurophysiology/dandi_000568
