section_id,donor_id,time,source,target,source_cell_id,target_cell_id,sender_type,receiver_type,relation,distance,ligand_signal,receptor_signal,true_gate_probability,edge_active,source_stress,source_damage,source_inflammation
D00_S0,D00,0.0,D00_S0_C032_T000,D00_S0_C005_T000,D00_S0_C032,D00_S0_C005,fibroblast,tumor,fibroblast_to_tumor,176.37439335513255,0.5868316093211345,0.6368287319850205,0.2587911285165974,0,0.3812151702208401,0.30113913088702554,0.5498732931076362
D00_S0,D00,0.0,D00_S0_C004_T000,D00_S0_C005_T000,D00_S0_C004,D00_S0_C005,tumor,tumor,other,190.95722249564068,0.6039126601129576,0.6368287319850205,0.06629111069206914,0,0.5987953386944628,0.5378190308017973,0.4543439830088578
D00_S0,D00,0.0,D00_S0_C034_T000,D00_S0_C005_T000,D00_S0_C034,D00_S0_C005,t_cell,tumor,t_cell_to_tumor,193.5533697455343,0.14751546633785684,0.6368287319850205,0.009408429012905499,0,0.40077620548852694,0.34866469547207884,0.15229133253948293
D00_S0,D00,0.0,D00_S0_C011_T000,D00_S0_C005_T000,D00_S0_C011,D00_S0_C005,macrophage,tumor,macrophage_to_tumor,341.6246291490287,0.7734792392721059,0.6368287319850205,0.02577792813120107,0,0.3280236935519573,0.30347430869490016,0.7503381101059865
D00_S0,D00,0.0,D00_S0_C020_T000,D00_S0_C006_T000,D00_S0_C020,D00_S0_C006,t_cell,macrophage,other,65.61553313583707,0.019986457702913546,0.6351938787998829,0.25698476218337746,0,0.19280226116075405,0.21290176072229688,0.06422339453799235
D00_S0,D00,0.0,D00_S0_C012_T000,D00_S0_C006_T000,D00_S0_C012,D00_S0_C006,tumor,macrophage,tumor_to_macrophage,75.20853237113688,0.5926894124608403,0.6351938787998829,0.6234539725678385,1,0.5673446305156803,0.5495373149151367,0.45994862992305624
D00_S0,D00,0.0,D00_S0_C031_T000,D00_S0_C006_T000,D00_S0_C031,D00_S0_C006,tumor,macrophage,tumor_to_macrophage,98.77582910825,0.6191797085371126,0.6351938787998829,0.5275937225440284,1,0.6572005756524399,0.49375779797405833,0.4276879101693832
D00_S0,D00,0.0,D00_S0_C015_T000,D00_S0_C006_T000,D00_S0_C015,D00_S0_C006,tumor,macrophage,tumor_to_macrophage,135.5149598952583,0.6156997890633042,0.6351938787998829,0.3647470626974532,0,0.6309138871297371,0.5271541594196903,0.46260598684801535
D00_S0,D00,0.0,D00_S0_C027_T000,D00_S0_C006_T000,D00_S0_C027,D00_S0_C006,fibroblast,macrophage,other,161.84502278201262,0.5632151355780065,0.6351938787998829,0.10255822154520822,0,0.308202154650536,0.33809666394106097,0.538631266033581
D00_S0,D00,0.0,D00_S0_C024_T000,D00_S0_C007_T000,D00_S0_C024,D00_S0_C007,vascular,macrophage,other,3.7039772291387,0.10064871835915458,0.5308703915572092,0.5168004804091715,1,0.21524652760371626,0.21515112374992906,0.12477676171902398
D00_S0,D00,0.0,D00_S0_C023_T000,D00_S0_C007_T000,D00_S0_C023,D00_S0_C007,macrophage,macrophage,other,84.86868053555938,0.7430287514332448,0.5308703915572092,0.34186359679438266,0,0.27974201434920404,0.2685793799044116,0.7958489133610733
D00_S0,D00,0.0,D00_S0_C028_T000,D00_S0_C007_T000,D00_S0_C028,D00_S0_C007,fibroblast,macrophage,other,89.87097087576484,0.5179973796592701,0.5308703915572092,0.26818951667928664,0,0.21625662947847052,0.32272758557583314,0.6325714769020112
D00_S0,D00,0.0,D00_S0_C029_T000,D00_S0_C007_T000,D00_S0_C029,D00_S0_C007,fibroblast,macrophage,other,97.29578761168544,0.5514969360167543,0.5308703915572092,0.24993670192042547,0,0.2924886201986512,0.3195082277094449,0.5985794481011514
D00_S0,D00,0.0,D00_S0_C022_T000,D00_S0_C007_T000,D00_S0_C022,D00_S0_C007,tumor,macrophage,tumor_to_macrophage,131.45501684840158,0.5977650285424967,0.5308703915572092,0.35879276773285323,0,0.5896369584268911,0.5297135890015827,0.4581421466445622
D00_S0,D00,0.0,D00_S0_C032_T000,D00_S0_C008_T000,D00_S0_C032,D00_S0_C008,fibroblast,tumor,fibroblast_to_tumor,87.2431284365922,0.5868316093211345,0.6007955155476667,0.6283340945336848,1,0.3812151702208401,0.30113913088702554,0.5498732931076362
D00_S0,D00,0.0,D00_S0_C005_T000,D00_S0_C008_T000,D00_S0_C005,D00_S0_C008,tumor,tumor,other,138.12174787085974,0.5476174338188842,0.6007955155476667,0.14358415167854188,0,0.4880402834202853,0.5119972251190229,0.42507913135510833
D00_S0,D00,0.0,D00_S0_C034_T000,D00_S0_C008_T000,D00_S0_C034,D00_S0_C008,t_cell,tumor,t_cell_to_tumor,186.66922494840472,0.14751546633785684,0.6007955155476667,0.0103557191314345,0,0.40077620548852694,0.34866469547207884,0.15229133253948293
D00_S0,D00,0.0,D00_S0_C004_T000,D00_S0_C008_T000,D00_S0_C004,D00_S0_C008,tumor,tumor,other,288.21271648185984,0.6039126601129576,0.6007955155476667,0.01185906593063334,0,0.5987953386944628,0.5378190308017973,0.4543439830088578
D00_S0,D00,0.0,D00_S0_C017_T000,D00_S0_C008_T000,D00_S0_C017,D00_S0_C008,vascular,tumor,vascular_to_tumor,294.3332998291586,0.09700355795778148,0.6007955155476667,0.0024338388996120175,0,0.2124190247119074,0.2056599873496926,0.15090023479012898
D00_S0,D00,0.0,D00_S0_C002_T000,D00_S0_C009_T000,D00_S0_C002,D00_S0_C009,macrophage,vascular,other,53.84399115754184,0.7249221372937465,0.5659706541439958,0.477252365933012,0,0.22459596997123416,0.2954158032267643,0.6968961107156151
D00_S0,D00,0.0,D00_S0_C035_T000,D00_S0_C009_T000,D00_S0_C035,D00_S0_C009,tumor,vascular,other,70.11879960348358,0.4884227173711039,0.5659706541439958,0.3416445132609187,0,0.38689496140973667,0.45727993894688923,0.3682966659890661
D00_S0,D00,0.0,D00_S0_C013_T000,D00_S0_C009_T000,D00_S0_C013,D00_S0_C009,t_cell,vascular,other,255.49350957240551,0.07523780352012577,0.5659706541439958,0.01134148543876258,0,0.2999874855851646,0.24097374002720687,0.07050127336575589
D00_S0,D00,0.0,D00_S0_C011_T000,D00_S0_C009_T000,D00_S0_C011,D00_S0_C009,macrophage,vascular,other,332.02984565069346,0.7734792392721059,0.5659706541439958,0.006415780910101121,0,0.3280236935519573,0.30347430869490016,0.7503381101059865
D00_S0,D00,0.0,D00_S0_C022_T000,D00_S0_C009_T000,D00_S0_C022,D00_S0_C009,tumor,vascular,other,338.5134465487109,0.5977650285424967,0.5659706541439958,0.004672701396548208,0,0.5896369584268911,0.5297135890015827,0.4581421466445622
D00_S0,D00,0.0,D00_S0_C027_T000,D00_S0_C010_T000,D00_S0_C027,D00_S0_C010,fibroblast,tumor,fibroblast_to_tumor,146.13500314240935,0.5632151355780065,0.6049477196917582,0.3637738124300627,0,0.308202154650536,0.33809666394106097,0.538631266033581
D00_S0,D00,0.0,D00_S0_C030_T000,D00_S0_C010_T000,D00_S0_C030,D00_S0_C010,t_cell,tumor,t_cell_to_tumor,187.61356887627042,0.0855753129101136,0.6049477196917582,0.0095188024046608,0,0.276284154045341,0.3249897743588405,0.08665604379987613
D00_S0,D00,0.0,D00_S0_C017_T000,D00_S0_C010_T000,D00_S0_C017,D00_S0_C010,vascular,tumor,vascular_to_tumor,199.51978463002231,0.09700355795778148,0.6049477196917582,0.013306704488060202,0,0.2124190247119074,0.2056599873496926,0.15090023479012898
D00_S0,D00,0.0,D00_S0_C020_T000,D00_S0_C010_T000,D00_S0_C020,D00_S0_C010,t_cell,tumor,t_cell_to_tumor,211.47643957021475,0.019986457702913546,0.6049477196917582,0.005766649534801875,0,0.19280226116075405,0.21290176072229688,0.06422339453799235
D00_S0,D00,0.0,D00_S0_C006_T000,D00_S0_C010_T000,D00_S0_C006,D00_S0_C010,macrophage,tumor,macrophage_to_tumor,229.13006185838438,0.7592448874952705,0.6049477196917582,0.16144729362797736,0,0.31164073254497027,0.2760262314001354,0.7073812393946284
D00_S0,D00,0.0,D00_S0_C022_T000,D00_S0_C011_T000,D00_S0_C022,D00_S0_C011,tumor,macrophage,tumor_to_macrophage,157.8319692627758,0.5977650285424967,0.6703872880820785,0.2787329709542439,0,0.5896369584268911,0.5297135890015827,0.4581421466445622
D00_S0,D00,0.0,D00_S0_C004_T000,D00_S0_C011_T000,D00_S0_C004,D00_S0_C011,tumor,macrophage,tumor_to_macrophage,182.64912334922366,0.6039126601129576,0.6703872880820785,0.19934483330416045,0,0.5987953386944628,0.5378190308017973,0.4543439830088578
D00_S0,D00,0.0,D00_S0_C024_T000,D00_S0_C011_T000,D00_S0_C024,D00_S0_C011,vascular,macrophage,other,278.6001486269329,0.10064871835915458,0.6703872880820785,0.008356979028132453,0,0.21524652760371626,0.21515112374992906,0.12477676171902398
D00_S0,D00,0.0,D00_S0_C007_T000,D00_S0_C011_T000,D00_S0_C007,D00_S0_C011,macrophage,macrophage,other,279.04578863508397,0.7120725451894643,0.6703872880820785,0.01660755920881755,0,0.20400720802203914,0.2810772063181863,0.727046381179476
D00_S0,D00,0.0,D00_S0_C028_T000,D00_S0_C011_T000,D00_S0_C028,D00_S0_C011,fibroblast,macrophage,other,290.5931097121224,0.5179973796592701,0.6703872880820785,0.01085528569978707,0,0.21625662947847052,0.32272758557583314,0.6325714769020112
D00_S0,D00,0.0,D00_S0_C020_T000,D00_S0_C012_T000,D00_S0_C020,D00_S0_C012,t_cell,tumor,t_cell_to_tumor,39.23483326248202,0.019986457702913546,0.7873312192906795,0.1286728740547169,0,0.19280226116075405,0.21290176072229688,0.06422339453799235
D00_S0,D00,0.0,D00_S0_C015_T000,D00_S0_C012_T000,D00_S0_C015,D00_S0_C012,tumor,tumor,other,63.767964289981244,0.6156997890633042,0.7873312192906795,0.44293221475067096,0,0.6309138871297371,0.5271541594196903,0.46260598684801535
D00_S0,D00,0.0,D00_S0_C006_T000,D00_S0_C012_T000,D00_S0_C006,D00_S0_C012,macrophage,tumor,macrophage_to_tumor,75.20853237113688,0.7592448874952705,0.7873312192906795,0.7790048390165392,1,0.31164073254497027,0.2760262314001354,0.7073812393946284
D00_S0,D00,0.0,D00_S0_C031_T000,D00_S0_C012_T000,D00_S0_C031,D00_S0_C012,tumor,tumor,other,147.25056083231723,0.6191797085371126,0.7873312192906795,0.15084934260209168,0,0.6572005756524399,0.49375779797405833,0.4276879101693832
D00_S0,D00,0.0,D00_S0_C025_T000,D00_S0_C012_T000,D00_S0_C025,D00_S0_C012,t_cell,tumor,t_cell_to_tumor,156.51893031772687,0.05082713950757395,0.7873312192906795,0.018192405665780162,0,0.24334285081229068,0.24529142656817254,0.05444939641105093
D00_S0,D00,0.0,D00_S0_C035_T000,D00_S0_C013_T000,D00_S0_C035,D00_S0_C013,tumor,t_cell,other,189.0530675114137,0.4884227173711039,0.6530292168291943,0.061140165274135704,0,0.38689496140973667,0.45727993894688923,0.3682966659890661
D00_S0,D00,0.0,D00_S0_C000_T000,D00_S0_C013_T000,D00_S0_C000,D00_S0_C013,tumor,t_cell,other,198.82210455843824,0.5603722049557327,0.6530292168291943,0.056009333430914646,0,0.5173324340993481,0.5102904384441043,0.37068862500307037
D00_S0,D00,0.0,D00_S0_C002_T000,D00_S0_C013_T000,D00_S0_C002,D00_S0_C013,macrophage,t_cell,macrophage_to_t_cell,213.50239088640637,0.7249221372937465,0.6530292168291943,0.16251804636029168,0,0.22459596997123416,0.2954158032267643,0.6968961107156151
D00_S0,D00,0.0,D00_S0_C026_T000,D00_S0_C013_T000,D00_S0_C026,D00_S0_C013,fibroblast,t_cell,fibroblast_to_t_cell,229.0229206221362,0.5797238309699876,0.6530292168291943,0.0894834606641492,0,0.3178572520780865,0.38675227013939456,0.5848145258839254
D00_S0,D00,0.0,D00_S0_C014_T000,D00_S0_C013_T000,D00_S0_C014,D00_S0_C013,fibroblast,t_cell,fibroblast_to_t_cell,235.17930421856406,0.5469731136723519,0.6530292168291943,0.07810073572978662,0,0.30321261782435566,0.28210974260556737,0.593312412038595
D00_S0,D00,0.0,D00_S0_C026_T000,D00_S0_C014_T000,D00_S0_C026,D00_S0_C014,fibroblast,fibroblast,other,55.376925055380006,0.5797238309699876,0.6382771643189675,0.4424081496803668,0,0.3178572520780865,0.38675227013939456,0.5848145258839254
D00_S0,D00,0.0,D00_S0_C019_T000,D00_S0_C014_T000,D00_S0_C019,D00_S0_C014,tumor,fibroblast,other,106.87979393396469,0.5232136263941367,0.6382771643189675,0.22733291507550718,0,0.5175374346510359,0.36128712320468226,0.3852314610294737
D00_S0,D00,0.0,D00_S0_C016_T000,D00_S0_C014_T000,D00_S0_C016,D00_S0_C014,fibroblast,fibroblast,other,222.22795590720298,0.5097299979235633,0.6382771643189675,0.03505320768994763,0,0.22494069753495485,0.27402673613133427,0.5415187585667788
D00_S0,D00,0.0,D00_S0_C013_T000,D00_S0_C014_T000,D00_S0_C013,D00_S0_C014,t_cell,fibroblast,other,235.17930421856406,0.07523780352012577,0.6382771643189675,0.01715779273033249,0,0.2999874855851646,0.24097374002720687,0.07050127336575589
D00_S0,D00,0.0,D00_S0_C033_T000,D00_S0_C014_T000,D00_S0_C033,D00_S0_C014,macrophage,fibroblast,other,245.01459216477275,0.7000805082548345,0.6382771643189675,0.029128919796360238,0,0.16517707198379394,0.30300330344850823,0.745931234478889
D00_S0,D00,0.0,D00_S0_C012_T000,D00_S0_C015_T000,D00_S0_C012,D00_S0_C015,tumor,tumor,other,63.767964289981244,0.5926894124608403,0.8137450691171033,0.4412916194231297,0,0.5673446305156803,0.5495373149151367,0.45994862992305624
D00_S0,D00,0.0,D00_S0_C025_T000,D00_S0_C015_T000,D00_S0_C025,D00_S0_C015,t_cell,tumor,t_cell_to_tumor,93.16657333828991,0.05082713950757395,0.8137450691171033,0.05581716932931332,0,0.24334285081229068,0.24529142656817254,0.05444939641105093
D00_S0,D00,0.0,D00_S0_C020_T000,D00_S0_C015_T000,D00_S0_C020,D00_S0_C015,t_cell,tumor,t_cell_to_tumor,98.5228494751957,0.019986457702913546,0.8137450691171033,0.04926047647126855,0,0.19280226116075405,0.21290176072229688,0.06422339453799235
D00_S0,D00,0.0,D00_S0_C006_T000,D00_S0_C015_T000,D00_S0_C006,D00_S0_C015,macrophage,tumor,macrophage_to_tumor,135.5149598952583,0.7592448874952705,0.8137450691171033,0.5483908438230882,1,0.31164073254497027,0.2760262314001354,0.7073812393946284
D00_S0,D00,0.0,D00_S0_C023_T000,D00_S0_C015_T000,D00_S0_C023,D00_S0_C015,macrophage,tumor,macrophage_to_tumor,156.85423144509087,0.7430287514332448,0.8137450691171033,0.44804216776350697,0,0.27974201434920404,0.2685793799044116,0.7958489133610733
D00_S0,D00,0.0,D00_S0_C033_T000,D00_S0_C016_T000,D00_S0_C033,D00_S0_C016,macrophage,fibroblast,other,117.13370443811374,0.7000805082548345,0.545111854813664,0.218491279705197,0,0.16517707198379394,0.30300330344850823,0.745931234478889
D00_S0,D00,0.0,D00_S0_C019_T000,D00_S0_C016_T000,D00_S0_C019,D00_S0_C016,tumor,fibroblast,other,130.71398188807945,0.5232136263941367,0.545111854813664,0.15157230263547627,0,0.5175374346510359,0.36128712320468226,0.3852314610294737
D00_S0,D00,0.0,D00_S0_C001_T000,D00_S0_C016_T000,D00_S0_C001,D00_S0_C016,macrophage,fibroblast,other,133.14963940988676,0.7768517321048317,0.545111854813664,0.186262611702119,0,0.31482053374069285,0.3407299676860799,0.7537513462359486
D00_S0,D00,0.0,D00_S0_C003_T000,D00_S0_C016_T000,D00_S0_C003,D00_S0_C016,macrophage,fibroblast,other,170.43750184139844,0.8223109305065628,0.545111854813664,0.10974156817691533,0,0.3980675370364438,0.3727221553606519,0.7217406784781656
D00_S0,D00,0.0,D00_S0_C026_T000,D00_S0_C016_T000,D00_S0_C026,D00_S0_C016,fibroblast,fibroblast,other,190.35963553567774,0.5797238309699876,0.545111854813664,0.061171171717740704,0,0.3178572520780865,0.38675227013939456,0.5848145258839254
D00_S0,D00,0.0,D00_S0_C034_T000,D00_S0_C017_T000,D00_S0_C034,D00_S0_C017,t_cell,vascular,other,193.5678774989177,0.14751546633785684,0.6017043188729218,0.03756836231196828,0,0.40077620548852694,0.34866469547207884,0.15229133253948293
D00_S0,D00,0.0,D00_S0_C010_T000,D00_S0_C017_T000,D00_S0_C010,D00_S0_C017,tumor,vascular,other,199.51978463002231,0.5132558536883265,0.6017043188729218,0.050698330309676236,0,0.45093819644008093,0.4413346611611604,0.3377402411888514
D00_S0,D00,0.0,D00_S0_C020_T000,D00_S0_C017_T000,D00_S0_C020,D00_S0_C017,t_cell,vascular,other,246.09494452468687,0.019986457702913546,0.6017043188729218,0.012926738615757837,0,0.19280226116075405,0.21290176072229688,0.06422339453799235
D00_S0,D00,0.0,D00_S0_C012_T000,D00_S0_C017_T000,D00_S0_C012,D00_S0_C017,tumor,vascular,other,269.94406227512724,0.5926894124608403,0.6017043188729218,0.016204611774555032,0,0.5673446305156803,0.5495373149151367,0.45994862992305624
D00_S0,D00,0.0,D00_S0_C015_T000,D00_S0_C017_T000,D00_S0_C015,D00_S0_C017,tumor,vascular,other,283.6407202848258,0.6156997890633042,0.6017043188729218,0.013045251815376215,0,0.6309138871297371,0.5271541594196903,0.46260598684801535
D00_S0,D00,0.0,D00_S0_C030_T000,D00_S0_C018_T000,D00_S0_C030,D00_S0_C018,t_cell,tumor,t_cell_to_tumor,160.68320272166292,0.0855753129101136,0.7701463042009973,0.017356551201014973,0,0.276284154045341,0.3249897743588405,0.08665604379987613
D00_S0,D00,0.0,D00_S0_C027_T000,D00_S0_C018_T000,D00_S0_C027,D00_S0_C018,fibroblast,tumor,fibroblast_to_tumor,268.7293870022338,0.5632151355780065,0.7701463042009973,0.06649485911297451,0,0.308202154650536,0.33809666394106097,0.538631266033581
D00_S0,D00,0.0,D00_S0_C021_T000,D00_S0_C018_T000,D00_S0_C021,D00_S0_C018,macrophage,tumor,macrophage_to_tumor,290.7028216128244,0.8141041639170989,0.7701463042009973,0.0711721865089233,0,0.4020336051614471,0.332756166377791,0.7786849589955038
D00_S0,D00,0.0,D00_S0_C010_T000,D00_S0_C018_T000,D00_S0_C010,D00_S0_C018,tumor,tumor,other,342.17398762975625,0.5132558536883265,0.7701463042009973,0.004626682289171731,0,0.45093819644008093,0.4413346611611604,0.3377402411888514
D00_S0,D00,0.0,D00_S0_C006_T000,D00_S0_C018_T000,D00_S0_C006,D00_S0_C018,macrophage,tumor,macrophage_to_tumor,422.16539753757377,0.7592448874952705,0.7701463042009973,0.006704589592942241,0,0.31164073254497027,0.2760262314001354,0.7073812393946284
D00_S0,D00,0.0,D00_S0_C026_T000,D00_S0_C019_T000,D00_S0_C026,D00_S0_C019,fibroblast,tumor,fibroblast_to_tumor,103.89257876219281,0.5797238309699876,0.6193148132943898,0.557519749959198,1,0.3178572520780865,0.38675227013939456,0.5848145258839254
D00_S0,D00,0.0,D00_S0_C014_T000,D00_S0_C019_T000,D00_S0_C014,D00_S0_C019,fibroblast,tumor,fibroblast_to_tumor,106.87979393396469,0.5469731136723519,0.6193148132943898,0.5348605734529776,1,0.30321261782435566,0.28210974260556737,0.593312412038595
D00_S0,D00,0.0,D00_S0_C016_T000,D00_S0_C019_T000,D00_S0_C016,D00_S0_C019,fibroblast,tumor,fibroblast_to_tumor,130.71398188807945,0.5097299979235633,0.6193148132943898,0.4177112470738725,0,0.22494069753495485,0.27402673613133427,0.5415187585667788
D00_S0,D00,0.0,D00_S0_C033_T000,D00_S0_C019_T000,D00_S0_C033,D00_S0_C019,macrophage,tumor,macrophage_to_tumor,139.00185687650566,0.7000805082548345,0.6193148132943898,0.47939798873187917,0,0.16517707198379394,0.30300330344850823,0.745931234478889
D00_S0,D00,0.0,D00_S0_C001_T000,D00_S0_C019_T000,D00_S0_C001,D00_S0_C019,macrophage,tumor,macrophage_to_tumor,260.24493784255094,0.7768517321048317,0.6193148132943898,0.10187677559428308,0,0.31482053374069285,0.3407299676860799,0.7537513462359486
D00_S0,D00,0.0,D00_S0_C012_T000,D00_S0_C020_T000,D00_S0_C012,D00_S0_C020,tumor,t_cell,other,39.23483326248202,0.5926894124608403,0.5477877999546054,0.5015516639116081,1,0.5673446305156803,0.5495373149151367,0.45994862992305624
D00_S0,D00,0.0,D00_S0_C006_T000,D00_S0_C020_T000,D00_S0_C006,D00_S0_C020,macrophage,t_cell,macrophage_to_t_cell,65.61553313583707,0.7592448874952705,0.5477877999546054,0.7276818485294352,1,0.31164073254497027,0.2760262314001354,0.7073812393946284
