row_id,holdout_type,nearest_support_distance,intervention_a_seen,intervention_b_seen,pair_seen,dose_within_training_range,sequence_seen_for_pair,positivity_warning
IG00142,unseen_perturbation,5.607487117132975,False,True,False,True,False,True
IG00143,unseen_perturbation,5.148400745201046,False,True,False,True,False,True
IG00144,unseen_perturbation,5.363364596743637,False,True,False,True,False,True
IG00160,unseen_dose,6.372309815527091,True,True,False,False,False,True
IG00161,unseen_dose,5.98662198518488,True,True,False,False,False,True
IG00162,unseen_dose,6.124238243382108,True,True,False,False,False,True
IG00163,unseen_dose,6.207342632109501,True,True,False,False,False,True
IG00164,unseen_dose,6.058674894182944,True,True,False,False,False,True
IG00180,unseen_dose,7.119390212135277,True,True,False,False,False,True
IG00181,unseen_dose,6.30027124093498,True,True,False,False,False,True
IG00182,unseen_dose,6.640072109797607,True,True,False,False,False,True
IG00183,unseen_dose,6.941454662920019,True,True,False,False,False,True
IG00184,unseen_dose,7.737199062976582,True,True,False,False,False,True
IG00200,unseen_dose,6.297435165552331,True,True,False,False,False,True
IG00201,unseen_dose,7.292886515155132,True,True,False,False,False,True
IG00202,unseen_dose,6.3458298415022405,True,True,False,False,False,True
IG00203,unseen_dose,6.326015675607849,True,True,False,False,False,True
IG00204,unseen_dose,6.496628045649489,True,True,False,False,False,True
IG00220,unseen_dose,6.374969900420173,True,True,False,False,False,True
IG00221,unseen_dose,6.226068780383146,True,True,False,False,False,True
IG00222,unseen_dose,6.032593967801914,True,True,False,False,False,True
IG00223,unseen_dose,6.838447438972457,True,True,False,False,False,True
IG00224,unseen_dose,6.202819981065277,True,True,False,False,False,True
IG00240,unseen_dose,7.66114950486638,True,True,False,False,False,True
IG00241,unseen_dose,6.442171157134494,True,True,False,False,False,True
IG00242,unseen_dose,6.437899196736862,True,True,False,False,False,True
IG00243,unseen_dose,6.407903640400674,True,True,False,False,False,True
IG00244,unseen_dose,6.283629185048213,True,True,False,False,False,True
IG00260,unseen_dose,5.994511664917233,True,True,False,False,False,True
IG00261,unseen_dose,6.167670879381473,True,True,False,False,False,True
IG00262,unseen_dose,6.226614427337577,True,True,False,False,False,True
IG00263,unseen_dose,6.2899045173693455,True,True,False,False,False,True
IG00264,unseen_dose,6.253807267608515,True,True,False,False,False,True
IG00280,unseen_dose,6.692520161365827,True,True,False,False,False,True
IG00281,unseen_dose,6.56261863291554,True,True,False,False,False,True
IG00282,unseen_dose,6.370845373558257,True,True,False,False,False,True
IG00283,unseen_dose,6.732579834487777,True,True,False,False,False,True
IG00284,unseen_dose,6.799398351006867,True,True,False,False,False,True
IG00285,unseen_perturbation,4.710300264735655,False,True,False,True,False,True
IG00286,unseen_perturbation,4.374006208998099,False,True,False,True,False,True
IG00287,unseen_perturbation,4.636788066443342,False,True,False,True,False,True
IG00288,unseen_perturbation,5.110556972867048,False,True,False,True,False,True
IG00289,unseen_perturbation,4.622635170686407,False,True,False,True,False,True
IG00290,unseen_combination,9.20156852885502,True,True,False,True,False,True
IG00291,unseen_combination,9.036983012657995,True,True,False,True,False,True
IG00292,unseen_combination,9.260582974604304,True,True,False,True,False,True
IG00293,unseen_combination,9.142764010620736,True,True,False,True,False,True
IG00294,unseen_combination,9.038031706264558,True,True,False,True,False,True
IG00306,unseen_sequence,8.245672169454675,True,True,True,True,True,True
IG00308,unseen_sequence,8.383527763577002,True,True,True,True,True,True
IG00310,unseen_sequence,8.137933816203232,True,True,True,True,True,True
IG00312,unseen_sequence,8.72424130800398,True,True,True,True,True,True
IG00314,unseen_sequence,8.169634934984085,True,True,True,True,True,True
IG00326,unseen_sequence,9.653949742346494,True,True,True,True,True,True
IG00328,unseen_sequence,9.611185496571897,True,True,True,True,True,True
IG00330,unseen_sequence,10.497743402029057,True,True,True,True,True,True
IG00332,unseen_sequence,9.956344294541486,True,True,True,True,True,True
IG00334,unseen_sequence,9.639326514315027,True,True,True,True,True,True
IG00346,unseen_sequence,7.525647935359695,True,True,True,True,True,True
IG00348,unseen_sequence,7.365555372887367,True,True,True,True,True,True
IG00350,unseen_sequence,7.6637060376151025,True,True,True,True,True,True
IG00352,unseen_sequence,7.372472303231218,True,True,True,True,True,True
IG00354,unseen_sequence,7.756791416352182,True,True,True,True,True,True
IG00366,unseen_sequence,10.22796537244434,True,True,True,True,True,True
IG00368,unseen_sequence,10.21094184768784,True,True,True,True,True,True
IG00370,unseen_sequence,10.377592011134992,True,True,True,True,True,True
IG00372,unseen_sequence,10.24405183686347,True,True,True,True,True,True
IG00374,unseen_sequence,10.341843729848685,True,True,True,True,True,True
IG00375,unseen_combination,10.758688473464465,True,True,False,True,False,True
IG00376,unseen_combination,10.687091468912012,True,True,False,True,False,True
IG00377,unseen_combination,10.938052783641936,True,True,False,True,False,True
IG00378,unseen_combination,10.548919133651058,True,True,False,True,False,True
IG00379,unseen_combination,10.545081644060282,True,True,False,True,False,True
IG00391,unseen_sequence,8.805089563969778,True,True,True,True,True,True
IG00393,unseen_sequence,8.5397056868247,True,True,True,True,True,True
IG00395,unseen_sequence,8.454751256537463,True,True,True,True,True,True
IG00397,unseen_sequence,8.967547683101156,True,True,True,True,True,True
IG00399,unseen_sequence,8.44341412275736,True,True,True,True,True,True
IG00411,unseen_sequence,7.347865279293228,True,True,True,True,True,True
IG00413,unseen_sequence,6.927371674506238,True,True,True,True,True,True
IG00415,unseen_sequence,6.925118788163999,True,True,True,True,True,True
IG00417,unseen_sequence,7.348171483550919,True,True,True,True,True,True
IG00419,unseen_sequence,7.019115404202279,True,True,True,True,True,True
IG00431,unseen_sequence,6.784631761525762,True,True,True,True,True,True
IG00433,unseen_sequence,7.023734539844722,True,True,True,True,True,True
IG00435,unseen_sequence,6.854584495735037,True,True,True,True,True,True
IG00437,unseen_sequence,7.061669016538076,True,True,True,True,True,True
IG00439,unseen_sequence,7.721517908567788,True,True,True,True,True,True
IG00451,unseen_sequence,9.626613428001324,True,True,True,True,True,True
IG00453,unseen_sequence,9.793535586272627,True,True,True,True,True,True
IG00455,unseen_sequence,9.643074835298927,True,True,True,True,True,True
IG00457,unseen_sequence,9.518289306485997,True,True,True,True,True,True
IG00459,unseen_sequence,9.715671020516723,True,True,True,True,True,True
IG00471,unseen_sequence,9.055181763055959,True,True,True,True,True,True
IG00473,unseen_sequence,9.099933918690091,True,True,True,True,True,True
IG00475,unseen_sequence,9.028054994072935,True,True,True,True,True,True
IG00477,unseen_sequence,9.414949172997474,True,True,True,True,True,True
IG00479,unseen_sequence,9.266904547524774,True,True,True,True,True,True
IG00491,unseen_sequence,9.735356678019073,True,True,True,True,True,True
IG00493,unseen_sequence,9.672954656729445,True,True,True,True,True,True
IG00495,unseen_sequence,9.845831430927861,True,True,True,True,True,True
IG00497,unseen_sequence,9.827938144167529,True,True,True,True,True,True
IG00499,unseen_sequence,9.908027404880803,True,True,True,True,True,True
IG00511,unseen_sequence,9.42344535276074,True,True,True,True,True,True
IG00513,unseen_sequence,9.26568481460734,True,True,True,True,True,True
IG00515,unseen_sequence,9.412270200078773,True,True,True,True,True,True
IG00517,unseen_sequence,9.217487198090064,True,True,True,True,True,True
IG00519,unseen_sequence,9.201020973101137,True,True,True,True,True,True
IG00531,unseen_sequence,6.651283116408062,True,True,True,True,True,True
IG00533,unseen_sequence,7.116164771734731,True,True,True,True,True,True
IG00535,unseen_sequence,7.087955432303501,True,True,True,True,True,True
IG00537,unseen_sequence,6.8541921392550735,True,True,True,True,True,True
IG00539,unseen_sequence,6.893491297117483,True,True,True,True,True,True
IG00551,unseen_sequence,7.594882729267274,True,True,True,True,True,True
IG00553,unseen_sequence,7.6151208561467785,True,True,True,True,True,True
IG00555,unseen_sequence,7.659619485282414,True,True,True,True,True,True
IG00557,unseen_sequence,7.599457115071315,True,True,True,True,True,True
IG00559,unseen_sequence,7.447085862152631,True,True,True,True,True,True
IG00571,unseen_sequence,8.055410349846117,True,True,True,True,True,True
IG00573,unseen_sequence,8.108358510827463,True,True,True,True,True,True
IG00575,unseen_sequence,8.105237160599609,True,True,True,True,True,True
IG00577,unseen_sequence,8.113405306322985,True,True,True,True,True,True
IG00579,unseen_sequence,8.033114509368929,True,True,True,True,True,True
IG00591,unseen_sequence,6.853105229779243,True,True,True,True,True,True
IG00593,unseen_sequence,6.776435705274837,True,True,True,True,True,True
IG00595,unseen_sequence,6.592042720670845,True,True,True,True,True,True
IG00597,unseen_sequence,6.712802575392542,True,True,True,True,True,True
IG00599,unseen_sequence,6.545224590954144,True,True,True,True,True,True
